FILTROS;;;;;;;;;;;;;;;;;;;;;;;
;94 Registros;;;;;;;;12858,39;;12855,22;;212,1;;12855,22;;977,06;;;;;;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;IND_OPER;COD_PART;COD_ITEM;DT_OPER;VL_OPER;CST_PIS;VL_BC_PIS;ALIQ_PIS;VL_PIS;CST_COFINS;VL_BC_COFINS;ALIQ_COFINS;VL_COFINS;NAT_BC_CRED;IND_ORIG_CRED;COD_CTA;COD_CCUS;DESC_DOC_OPER;
F100;09/2025-67903807000105;7FBA2A3E9A68668A8A45E161EBDDD40C;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000000203;784896;45918;185,16;01 - Operação Tributável com Alíquota Básica;185,16;0,0165;3,06;01 - Operação Tributável com Alíquota Básica;185,16;0,076;14,07;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;495010E7405DF83F38EFF0397AC57D91;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000000203;97898948109077;45918;194,91;01 - Operação Tributável com Alíquota Básica;194,91;0,0165;3,22;01 - Operação Tributável com Alíquota Básica;194,91;0,076;14,81;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;34D93704516C4F6F7A85E6327D9E1EE3;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000000203;775656;45918;24,84;01 - Operação Tributável com Alíquota Básica;24,84;0,0165;0,41;01 - Operação Tributável com Alíquota Básica;24,84;0,076;1,89;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;2D86BFFDF274C840209FFA8A079F3BB9;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000000203;775657;45918;24,84;01 - Operação Tributável com Alíquota Básica;24,84;0,0165;0,41;01 - Operação Tributável com Alíquota Básica;24,84;0,076;1,89;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;0C47F691D9B1AC74BF40391011DE5243;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000000203;775658;45918;24,84;01 - Operação Tributável com Alíquota Básica;24,84;0,0165;0,41;01 - Operação Tributável com Alíquota Básica;24,84;0,076;1,89;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;C1A004B6AC5FF042CC706516765DB4D6;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000000203;775659;45918;24,84;01 - Operação Tributável com Alíquota Básica;24,84;0,0165;0,41;01 - Operação Tributável com Alíquota Básica;24,84;0,076;1,89;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;C9A827382E4251BB9FB746AEAD521A62;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000000203;775660;45918;24,84;01 - Operação Tributável com Alíquota Básica;24,84;0,0165;0,41;01 - Operação Tributável com Alíquota Básica;24,84;0,076;1,89;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;4EFFC8AD957CC4A1F95EFD1A85F4C948;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000002119;84194;45904;389,48;01 - Operação Tributável com Alíquota Básica;389,48;0,0165;6,43;01 - Operação Tributável com Alíquota Básica;389,48;0,076;29,6;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;70D80DB84656D6149FC59C3B45CECF5A;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000002119;823;45909;168,3;01 - Operação Tributável com Alíquota Básica;168,3;0,0165;2,78;01 - Operação Tributável com Alíquota Básica;168,3;0,076;12,79;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;0DB58747E5FD0863BFE25EEB6808AB54;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000002119;84194;45909;194,74;01 - Operação Tributável com Alíquota Básica;194,74;0,0165;3,21;01 - Operação Tributável com Alíquota Básica;194,74;0,076;14,8;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;8F64A1EB5FBDCA8262ABE6136FB3886D;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000002119;84194;45919;194,74;01 - Operação Tributável com Alíquota Básica;194,74;0,0165;3,21;01 - Operação Tributável com Alíquota Básica;194,74;0,076;14,8;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;DD0DF470B693381714C71A8971C863A7;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000002801;97898948209020;45908;212,05;01 - Operação Tributável com Alíquota Básica;212,05;0,0165;3,5;01 - Operação Tributável com Alíquota Básica;212,05;0,076;16,12;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;636E9264D570E05D4A22E24425C7A9FA;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000001903;7898962711088;45916;183,84;01 - Operação Tributável com Alíquota Básica;183,84;0,0165;3,03;01 - Operação Tributável com Alíquota Básica;183,84;0,076;13,97;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;686BF3D77AF172156F1B2FF3961CA9D8;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000001137;22 GOUR/1KG;45910;239;01 - Operação Tributável com Alíquota Básica;239;0,0165;3,94;01 - Operação Tributável com Alíquota Básica;239;0,076;18,16;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;5DF4782B0AA77297AF1BF7F5E0606D32;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000002052;97898948123954;45908;176;01 - Operação Tributável com Alíquota Básica;176;0,0165;2,9;01 - Operação Tributável com Alíquota Básica;176;0,076;13,38;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;C41466957EB6C8FD05065A41B03F7DED;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000002126;97898948127121;45911;62,94;01 - Operação Tributável com Alíquota Básica;62,94;0,0165;1,04;01 - Operação Tributável com Alíquota Básica;62,94;0,076;4,78;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;025964FD8EA96916E7DB423F5FC8066A;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000001644;511395;45905;826,61;01 - Operação Tributável com Alíquota Básica;826,61;0,0165;13,64;01 - Operação Tributável com Alíquota Básica;826,61;0,076;62,82;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;BCFE6EECD0E4BA2906770017A2F6EE4D;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000001693;000000000012151001;45908;150,48;01 - Operação Tributável com Alíquota Básica;150,48;0,0165;2,48;01 - Operação Tributável com Alíquota Básica;150,48;0,076;11,44;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;EA16A6B441BB8F373205B9036351AC81;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000001693;000000000012151002;45908;150,48;01 - Operação Tributável com Alíquota Básica;150,48;0,0165;2,48;01 - Operação Tributável com Alíquota Básica;150,48;0,076;11,44;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;2D9408237A41E1D738031C48AC472284;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000001693;000000000012156008;45908;150,48;01 - Operação Tributável com Alíquota Básica;150,48;0,0165;2,48;01 - Operação Tributável com Alíquota Básica;150,48;0,076;11,44;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;F00C4355D61A7183906DA3AEA75847C4;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000000387;0203001;45910;41,4;01 - Operação Tributável com Alíquota Básica;41,4;0,0165;0,68;01 - Operação Tributável com Alíquota Básica;41,4;0,076;3,15;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;B0B678AC923C8EF53C18F16ADBE3B20E;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000000387;0403001;45910;41,4;01 - Operação Tributável com Alíquota Básica;41,4;0,0165;0,68;01 - Operação Tributável com Alíquota Básica;41,4;0,076;3,15;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;03F95A92D7CEBC82E49569204B6DE5D7;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000000387;2001003;45918;226,49;01 - Operação Tributável com Alíquota Básica;226,49;0,0165;3,74;01 - Operação Tributável com Alíquota Básica;226,49;0,076;17,21;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;2E3E4B25DF55617C2A5B1F0ABCA3088A;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000000387;0201009;45918;162;01 - Operação Tributável com Alíquota Básica;162;0,0165;2,67;01 - Operação Tributável com Alíquota Básica;162;0,076;12,31;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;EA000EF0B516FD9CBB4F6EA5F3EE2C55;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000000387;0203001;45918;82,8;01 - Operação Tributável com Alíquota Básica;82,8;0,0165;1,37;01 - Operação Tributável com Alíquota Básica;82,8;0,076;6,29;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;DAEDACDF4DB1AB2613918E130CC8412B;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000000387;0403001;45918;41,4;01 - Operação Tributável com Alíquota Básica;41,4;0,0165;0,68;01 - Operação Tributável com Alíquota Básica;41,4;0,076;3,15;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;A1CA7CE9C93677B89CABB17A8A4DA842;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000002111;2164;45919;30,15;01 - Operação Tributável com Alíquota Básica;30,15;0,0165;0,5;01 - Operação Tributável com Alíquota Básica;30,15;0,076;2,29;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;506A9CF34B3CC0009ACEBA36D9820219;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000002111;2171;45919;30,15;01 - Operação Tributável com Alíquota Básica;30,15;0,0165;0,5;01 - Operação Tributável com Alíquota Básica;30,15;0,076;2,29;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;03878F4D5C8B17D68F6B77AD9F187164;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000002807;168102;45911;97,34;01 - Operação Tributável com Alíquota Básica;97,34;0,0165;1,61;01 - Operação Tributável com Alíquota Básica;97,34;0,076;7,4;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;A22988ECBB84F34E4D933DDD1ADC9032;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000000087;20667;45930;528;01 - Operação Tributável com Alíquota Básica;528;0,0165;8,71;01 - Operação Tributável com Alíquota Básica;528;0,076;40,13;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;AA3AC47F0BC50BD29A25CC03DA229BB7;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000002437;1000004;45926;59,92;01 - Operação Tributável com Alíquota Básica;59,92;0,0165;0,99;01 - Operação Tributável com Alíquota Básica;59,92;0,076;4,55;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;C2EE6B0C32452073C10E0386A28CA587;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000002437;1000008;45926;7,49;01 - Operação Tributável com Alíquota Básica;7,49;0,0165;0,12;01 - Operação Tributável com Alíquota Básica;7,49;0,076;0,57;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;85892C229A58E12BE69A399DB42F6AAC;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000000203;778273;45924;99,72;01 - Operação Tributável com Alíquota Básica;99,72;0,0165;1,65;01 - Operação Tributável com Alíquota Básica;99,72;0,076;7,58;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;0924406C5809E8CC15204E48C96EC318;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000000203;778273;45928;33,24;01 - Operação Tributável com Alíquota Básica;33,24;0,0165;0,55;01 - Operação Tributável com Alíquota Básica;33,24;0,076;2,53;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;0D0EA8F7F2000EF48C26C552F2E6655A;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000000203;778275;45928;66,48;01 - Operação Tributável com Alíquota Básica;66,48;0,0165;1,1;01 - Operação Tributável com Alíquota Básica;66,48;0,076;5,05;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;CCC2070BFB160D8F89F3F9730B8BA98B;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000000203;780016;45928;68,16;01 - Operação Tributável com Alíquota Básica;68,16;0,0165;1,12;01 - Operação Tributável com Alíquota Básica;68,16;0,076;5,18;;;470;;Receita decorrente de entradas recebidas em bonificação;
