FILTROS;;;;;;;;;;;
;137 Registros;;;;;;;;0;22068,59;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;IND_EMIT;IND_TIT;DESC_TIT;NUM_TIT;QTD_PARC;VL_TIT;
C140;11/2025-57901554000187;82773270CE42DEE9EA2EC3F8889AF1C0;279C12379364F059B78BA097DE05C3EB;;0 - Própria;99 - Outros;;;;170,92;
C140;11/2025-57901554000187;B5A07406D850837606805EE70F62813E;2C17B8955112665737D144DFE0F670FF;;0 - Própria;99 - Outros;;;;173,36;
C140;11/2025-57901554000187;846E261EE12E881FC2F64428ED6FEC77;BA8332B54C7C8F17B1149B2C0EB4168F;;0 - Própria;99 - Outros;;;;170,92;
C140;11/2025-57901554000187;AA57F45D61EBDBC5797EBB121063F9C4;82912CE442F657DB39AE57225699B59A;;0 - Própria;99 - Outros;;;;166,25;
C140;11/2025-57901554000187;50871BB40BFD8769D011E18AF3A742B9;08467DE09622EE7B119F6D34B9D49966;;0 - Própria;99 - Outros;;;;168,54;
C140;11/2025-57901554000187;07B021ABF01C092C4598624FA562CD19;FAFE3FCFF29CD464EA993DB9D5940640;;0 - Própria;99 - Outros;;;;166,25;
C140;11/2025-57901554000187;AE79E8DFD3E4162C62C84D0DDFA90090;E7F4531B93BE26C82528B4870D2220E2;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;4D84DDB7AC5167641EB0CC8227EB6334;877A92317E24499685F4D1C954BFADA3;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;020605996E85B7D3D1CB8C244A774DA1;AFCB465D2A67F72223EF1F5BC1665F32;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;29285686667ABE3386BD31565219822A;F16273595301805C102CD2576215CF24;;0 - Própria;99 - Outros;;;;164,05;
C140;11/2025-57901554000187;E2BBBF4AF1EAAAE2D7BEA2BBAC8CEFAF;F70A8E095BAB9FB327539A736AACCACE;;0 - Própria;99 - Outros;;;;166,25;
C140;11/2025-57901554000187;2FB3C37B1845DA35AAC6223D523BEFE1;CDD7D8FAD39D418F8F0D9980FF3F7DC0;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;18BBC6A0B419149BB68AC750A60556B0;4833CBD8548DE55CC681FE72C5EC2F17;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;D69B33C7474CA28DD0F73690F5CE8129;77561EA98DFC3207E7C42E18BE495510;;0 - Própria;99 - Outros;;;;166,25;
C140;11/2025-57901554000187;92445D1F8F107EA3D5A2BCC83B2DE3FF;EC2E330066042E11AB9D187246E574C6;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;2A2CB1F1495703FBE1B471C543ED30C0;306DE811B9FB8D32AE9A605AE9A88FD0;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;6297BD75E42C0EFCE9C2DA59310507C6;A78EFCE51DF33E8A86335F03F167BFEF;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;882330BAAD030B16852D590BD9085DE7;E54F905E0386C5966F4719B00A8E767F;;0 - Própria;99 - Outros;;;;247,8;
C140;11/2025-57901554000187;C98C82F96EDFAC081F9194E5444B6C7B;7220BFDEA4CB8A5B68A1B99CC1681875;;0 - Própria;99 - Outros;;;;166,25;
C140;11/2025-57901554000187;D72F9EC8AAD0D9505F25E3FD8A2766E3;B8869AE71D027A2A8BB5F607695A8EE4;;0 - Própria;99 - Outros;;;;189,45;
C140;11/2025-57901554000187;D1A619F78EC8052B8D920145F7BB6199;620281CFD6B45EC578EA52D9F2E76914;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;AEFF8C6534F1EAAACB1900B7A209A30C;894ED7673511DC2E94CE3F67FC969AA6;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;192E71468556BD4C48042A961572D486;618A00623AC090AC48AC976C8AC5304A;;0 - Própria;99 - Outros;;;;166,25;
C140;11/2025-57901554000187;E2AAAC2D7C02866BD16B8E9F590ABCD4;DFCAAB3A23C75C1E08AAA6B139764F07;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;A538267E21D43828A8F1531722586A59;3E0F30C8FFC2964BD0EE22343A4F5CD6;;0 - Própria;99 - Outros;;;;166,25;
C140;11/2025-57901554000187;93214B08C360F57C973C4D29B363D181;DEE0457682DD89BDD672E6295D98A73F;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;C448F8A47E7F323AE4C0CCD03C6DAFBA;17AA87410F87A4F768AC82A207A381F9;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;1AE3A57F82F681E7EF8176A715597C30;B2B692803D94F21CC7C28A7DB9F29C78;;0 - Própria;99 - Outros;;;;170,92;
C140;11/2025-57901554000187;DF0864F2AC9585F879616769FE690D01;E806FEEA33020AB8CE83A81E1BF64912;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;B21C27FCAF428EBBA01C12C1CE09355A;CAFF1B556823ABA078C8117DD5F5DECF;;0 - Própria;99 - Outros;;;;149,9;
